id,vict_id,x,y,sobr,tri
0,172,34,59,1.0000,2
1,154,21,77,1.0000,2
2,107,0,87,1.0000,2
3,122,5,91,1.0000,0
4,130,9,88,1.0000,2
5,129,9,83,1.0000,0
6,121,5,83,1.0000,0
7,114,3,83,1.0000,0
8,106,0,85,1.0000,2
9,105,0,84,1.0000,2
10,113,3,79,1.0000,0
11,135,12,80,1.0000,2
12,136,14,82,1.0000,0
13,139,15,80,1.0000,0
14,141,16,87,1.0000,1
15,140,16,79,1.0000,2
16,134,12,76,1.0000,2
17,144,17,88,1.0000,1
18,147,18,92,1.0000,0
19,151,19,91,1.0000,2
20,104,0,74,1.0000,2
21,103,0,73,1.0000,0
22,138,15,71,1.0000,0
23,128,9,70,1.0000,2
24,137,15,70,1.0000,0
25,112,2,67,1.0000,0
26,111,2,66,1.0000,1
27,118,4,66,1.0000,2
28,150,19,63,1.0000,2
29,158,23,86,1.0000,2
30,160,24,84,1.0000,2
31,162,25,83,1.0000,1
32,108,1,79,0.9556,1
33,143,17,84,0.9556,1
34,132,10,69,0.9556,1
35,149,18,87,0.9130,0
36,148,18,78,0.9130,0
37,126,6,88,0.1905,3
38,142,17,76,0.0143,3
39,127,8,88,0.0143,3
40,133,11,93,0.0143,3
41,119,4,76,0.0143,3
42,156,22,93,0.0143,3
